City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Praia,CV,14.9215,-23.5087,81.14,69,75,13.8,broken clouds
213,Haines Junction,CA,60.7522,-137.5108,37.35,93,100,4.61,light rain
214,Balakhninskiy,RU,58.0106,114.2769,34.18,92,88,1.95,overcast clouds
215,Poronaysk,RU,49.2167,143.1167,44.15,83,8,8.84,clear sky
216,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,56,75,12.66,broken clouds
217,Souillac,MU,-20.5167,57.5167,73.78,78,75,12.66,broken clouds
218,Muyezerskiy,RU,63.9333,31.65,43.84,84,100,12.41,overcast clouds
219,Vanavara,RU,60.34,102.2797,26.04,93,48,3.38,scattered clouds
220,Ialibu,PG,-6.2821,143.9935,54.23,98,100,0.74,overcast clouds
221,Esperance,AU,-33.8667,121.9,51.64,64,100,13.15,overcast clouds
222,Sisimiut,GL,66.9395,-53.6735,30.2,71,98,2.66,light snow
223,Ust-Kut,RU,56.7938,105.7672,33.87,81,27,3.38,scattered clouds
224,Maple Creek,CA,49.9168,-109.4848,61.29,36,100,10.36,overcast clouds
225,Honiara,SB,-9.4333,159.95,76.26,86,74,4.54,broken clouds
226,Lulea,SE,65.5842,22.1547,44.67,93,75,10.36,moderate rain
227,Tual,ID,-5.6667,132.75,79.18,84,58,19.17,broken clouds
228,Hasaki,JP,35.7333,140.8333,68.4,72,32,14.88,scattered clouds
229,Mecca,SA,21.4267,39.8261,90.45,36,96,2.24,overcast clouds
230,General Pico,AR,-35.6566,-63.7568,69.69,45,0,3.11,clear sky
231,Brooks,CA,50.5834,-111.8851,60.42,33,29,6.91,scattered clouds
232,Medvedka,RU,61.1629,46.387,46.62,82,100,7.43,overcast clouds
233,Airai,TL,-8.9266,125.4092,57.6,57,100,1.79,overcast clouds
234,Tomatlan,MX,19.9333,-105.25,90.3,57,5,5.73,clear sky
235,Gubin,PL,51.9496,14.7284,67.37,59,100,20.4,overcast clouds
236,Mapastepec,MX,15.4333,-92.9,86.45,72,54,5.26,broken clouds
237,Kokopo,PG,-4.352,152.2633,76.24,85,100,7.49,overcast clouds
238,San Pedro,PH,14.35,121.0167,81.63,81,75,4.61,broken clouds
239,Guerrero Negro,MX,27.9769,-114.0611,84.72,50,0,2.89,clear sky
240,Wenceslau Braz,BR,-23.8739,-49.8028,76.66,28,68,7.47,broken clouds
241,Kaka,TM,37.3482,59.6143,80.02,16,0,10.33,clear sky
242,Kautokeino,NO,69.0125,23.0412,39.33,97,100,17.18,overcast clouds
243,Lorengau,PG,-2.0226,147.2712,79.27,82,100,8.59,moderate rain
244,Ouadda,CF,8.0777,22.4007,70.32,94,87,3.0,light rain
245,Mahebourg,MU,-20.4081,57.7,73.69,78,75,12.66,light rain
246,Saint George,US,37.1041,-113.5841,90.07,17,1,1.99,clear sky
247,Kahului,US,20.8947,-156.47,83.46,78,40,20.71,scattered clouds
248,Baykit,RU,61.67,96.37,33.3,98,100,5.01,light snow
249,Marawi,PH,7.9986,124.2928,66.65,95,55,1.3,broken clouds
250,Shimoda,JP,34.6667,138.95,74.16,81,100,4.88,overcast clouds
251,Muli,MV,2.9167,73.5667,83.01,77,88,17.25,overcast clouds
252,Koslan,RU,63.4564,48.8989,39.56,91,7,5.39,clear sky
253,Salalah,OM,17.0151,54.0924,84.29,79,75,5.75,broken clouds
254,Valdivia,CL,-39.8142,-73.2459,64.49,52,17,4.7,few clouds
255,Katsuura,JP,35.1333,140.3,75.31,84,100,7.16,overcast clouds
256,Olga,RU,43.7444,135.2892,54.64,76,100,4.63,overcast clouds
257,Sibu,MY,2.3,111.8167,75.51,94,40,4.61,scattered clouds
258,Svobodnyy,RU,51.4,128.1333,45.95,77,100,5.77,overcast clouds
259,Coahuayana,MX,18.7333,-103.6833,92.68,62,5,6.11,clear sky
260,Vidim,RU,56.4088,103.1106,36.09,81,98,3.89,overcast clouds
261,Grindavik,IS,63.8424,-22.4338,45.07,100,90,9.22,mist
262,Asau,RO,46.4333,26.4,46.96,76,100,5.99,overcast clouds
263,Alta Floresta,BR,-9.8756,-56.0861,96.62,46,40,9.22,scattered clouds
264,Maracai,BR,-22.6106,-50.6672,87.08,25,76,8.23,broken clouds
265,Ostrovnoy,RU,68.0531,39.5131,44.92,89,25,21.05,scattered clouds
266,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,clear sky
267,Xocotla,MX,19.0333,-97.1,67.62,71,72,5.53,broken clouds
268,Aranos,NA,-24.1333,19.1167,74.26,11,0,6.73,clear sky
269,Bullhead City,US,35.1478,-114.5683,101.1,14,75,0.0,broken clouds
270,Cayenne,GF,4.9333,-52.3333,89.64,76,0,7.0,clear sky
271,Otacilio Costa,BR,-27.4831,-50.1219,64.18,53,99,5.44,overcast clouds
272,Mlowo,TZ,-9.0,32.9833,60.94,72,20,8.7,few clouds
273,Evanton,GB,57.6638,-4.34,57.54,84,100,7.74,overcast clouds
274,Luanda,AO,-8.8368,13.2343,73.35,85,79,13.98,broken clouds
275,Port Macquarie,AU,-31.4333,152.9167,46.36,65,0,5.08,clear sky
