City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Flinders,AU,60.8,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
73,Visnes,NO,58.89,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
74,Vao,NC,68.7,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
76,Jamestown,US,65.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Christchurch,NZ,57.4,clear sky,-43.5333,172.6333,The George
83,Fortuna,US,69.37,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
86,Yulara,AU,55.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
87,Lagoa,PT,70.07,scattered clouds,39.05,-27.9833,Casa Das Faias
97,Chuy,UY,63.34,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
100,East London,ZA,65.34,clear sky,-33.0153,27.9116,Tu Casa
101,Villiers,ZA,75.13,clear sky,-27.0303,28.6006,Niki's Guesthouse
107,Lakatoro,VU,76.39,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
108,Tukrah,LY,74.01,few clouds,32.5341,20.5791,Lagrota restaurant
116,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
120,Goderich,CA,56.91,overcast clouds,43.7501,-81.7165,Harmony Inn
121,Beatrice,US,70.45,clear sky,40.2681,-96.747,Victorian Inn Beatrice
124,Berea,US,70.39,few clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
126,Chimbote,PE,68.27,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
129,Kamaishi,JP,63.28,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
130,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
132,Sharon,US,68.86,few clouds,41.2331,-80.4934,Buhl Mansion Guesthouse & Spa
133,Bonavista,CA,57.2,scattered clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
139,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
142,Vaini,TO,68.16,few clouds,-21.2,-175.2,Keleti Beach Resort
144,Ancud,CL,66.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
148,Yatou,CN,67.91,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
150,Geraldton,AU,55.81,few clouds,-28.7667,114.6,Broadwater Mariner Resort
154,Makakilo City,US,75.56,heavy intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
156,Coolum Beach,AU,57.15,clear sky,-26.5333,153.1,Palmer Coolum Resort
162,Constitucion,CL,66.74,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
164,Antofagasta,CL,61.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
165,Necochea,AR,69.04,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
167,Arica,CL,67.55,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
169,Nabire,ID,75.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
174,Pisco,PE,63.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
176,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Punto de encuentro
177,Port Hawkesbury,CA,75.9,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
178,Noumea,NC,60.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
179,Guerrero Negro,MX,73.87,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Kruisfontein,ZA,59.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
181,Grand Gaube,MU,72.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
191,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
192,West Wendover,US,61.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
196,Hualmay,PE,68.56,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
198,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
204,Beidao,CN,62.46,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
205,Margate,GB,73.69,clear sky,51.3813,1.3862,Premier Inn Margate hotel
207,Chase,CA,58.39,scattered clouds,50.8165,-119.6857,Chase Country Inn Motel
209,Asau,RO,58.12,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
